edition	page	base_count	base_confidence	grayscale_count	grayscale_confidence	processed_count	processed_confidence
correio da lavoura_10_maio_1917	page0001-1	3	95.0	9669	75.39470975119355	10125	82.14922544146765
correio da lavoura_10_maio_1917	page0001-2	3	95.0	12687	86.94015866779985	12691	77.96200362739843
correio da lavoura_10_maio_1917	page0001-3	4979	73.21079501278773	3888	64.65681419699051	5541	57.9185344108446
correio da lavoura_10_maio_1917	page0001-4	3559	54.80279234104939	3516	59.469043688796674	4899	43.739412183426474
correio da lavoura_1484_agosto de 1945	page0001-1	13987	90.2884509758031	13823	90.5113903683481	13398	86.3559720022584
correio da lavoura_1484_agosto de 1945	page0001-2	10835	84.35880202497573	11534	84.51362768527686	10243	69.62999644444439
correio da lavoura_1484_agosto de 1945	page0001-3	12906	80.49304503366743	13530	88.37854899252103	13094	77.7481954335429
correio da lavoura_1484_agosto de 1945	page0001-4	10266	77.31844604595403	11013	86.06658439811127	10146	82.9127723505814
correio da lavoura_1484_agosto de 1945	page0001-5	12825	76.34796649108259	13170	83.54345655310534	12424	74.53946948824819
correio da lavoura_1484_agosto de 1945	page0001-6	8023	80.31603909273666	7842	83.09649787128029	8726	71.89491248381178
correio da lavoura_459_dezembro_1925	page0001-1	10707	83.06202104025773	10653	81.33246749949062	10655	81.83104359004862
correio da lavoura_459_dezembro_1925	page0001-2	8895	83.79907773086731	8678	86.23796283807002	10174	77.89161010299934
correio da lavoura_459_dezembro_1925	page0001-3	8870	81.74633825989444	8088	78.28114394826409	10028	63.184839694198544
correio da lavoura_459_dezembro_1925	page0001-4	6366	81.77332087237765	6401	84.23958296935197	6704	80.13077901341151
correio da lavoura_459_dezembro_1925	page0001-5	6307	86.19334845879352	6038	82.29931244771846	6463	68.27737944416663
correio da lavoura_459_dezembro_1925	page0001-6	5006	79.42096267422434	5174	80.06626003659842	5061	73.64359780283355
correio da lavoura_52_marco_1918	page0001-1	3	95.0	9735	75.62197660705611	12268	71.4931247815344
correio da lavoura_52_marco_1918	page0001-2	14966	84.15625916618559	14796	82.33061374814811	14999	70.20031019737334
correio da lavoura_52_marco_1918	page0001-3	8486	77.54327145616537	7805	76.26808915850827	10812	62.24744112155741
correio da lavoura_52_marco_1918	page0001-4	3981	64.42098218457302	4662	73.12078390057795	4970	65.25202586839019
